accts,info,
@roopikarisam@mastodon.social,Associate Professor of Film & Media Studies and of Comparative Literature in the Digital Humanities and Social Engagement cluster at Dartmouth.,digital humanities
@mjg59@nondeterministic.computer,"Former biologist. Actual PhD in genetics. Security at https://aurora.tech, OS security teaching at https://www.ischool.berkeley.edu. Blog: https://mjg59.dreamwidth.org. He/him.",biologist
@simon@simonwillison.net,"Open source developer building tools to help journalists, archivists, librarians and others analyze, explore and publish their data. https://datasette.io and many other #projects.",data jounalist
@nixCraft@mastodon.social,"Enjoy #Linux, #macOS, #FreeBSD & #Unix like systems? #Opensource software & #programming? Enjoy #Sysadmin & #DevOps work? Follow us to make the most of your geeky IT career.",tech  
@molly0xfff@hachyderm.io,"crypto researcher & critic, software engineer, wikipedian • @web3isgreat creator • subscribe to my newsletter at http://citationneeded.news/ she/her • :QueerCat_Bisexual:",tech 
@bodhidave@mstdn.social,humanistic psychodynamic #Buddhist deconstructionist ... and all-round sweet guy,humanism
@DWitte@mastodon.social,"Sociological Theory @UniBonn @Theoriesektion | Comparative Differentiation Research | Law, Religion & Politics | Social Theory & Critique | Twitter: @d_witte1",scociology
@cjfaraday@zirk.us,"Fellow of Gonville & Caius College, Cambridge ",Historian
@aliceroberts@mastodonapp.uk,"Anatomist, anthropologist, author & broadcaster; Prof of Public Engagement in Science. University of Birmingham; all views my own","Anatomist, anthropologist, "
@chrischirp@fediscience.org,"Professor of Operational Research, UCL, UK",Mathematical 
@erictopol@mstdn.social,"I use mathematical tools to support delivery of health services, mainly working across congenital heart disease, intensive care, Covid & use of routine data sets to support decision making.","physician-scientist, author, editor"
@cfiesler@hci.social,"information science prof at university of colorado boulder, social computing / tech ethics researcher, exceptionally minuscule tiktok star, fangirl / geek, she/her",information science
@timnitGebru@dair-community.social,Fired from Google for raising issues of discrimination in the workplace and writing about the dangers of large language models: https://www.wired.com/story/google-timnit-gebru-ai-what-really-happened/.,tech policy 
@KevinMKruse@mastodon.social,Historian: White Flight; New Suburban History; Fog of War; One Nation Under God; Fault Lines; Voter Suppression; Myth America,Historian 
@jeffjarvis@mastodon.social,#Journalism prof at CUNY's Newmark School. Author of THE GUTENBERG PARENTHESIS & OBJECT LESSONS: MAGAZINE upcoming from Bloomsbury. Cohost of This Week in Google on the TWiT network.,journalism
@jbf1755@mastodon.social,"Award-winning historian, Yale. Early US politics & violence; A.Ham. Author: ""The Field of Blood: Violence in Congress & the Road to Civil War."" SHEAR President, 2021-22. #histodons #history #politics #Congress #politicalviolence #democracy #podcasts #birbs",historian
@Andy8chi@mastodon.scot,Criminologist & former Lada driver.,criminologist
@DrHannahGraham@mastodon.scot,Criminologist and University Lecturer | Will challenge punitiveness | Scottish politics |,criminologist 
@AndreasThinks@fosstodon.org,"Data science, evidence based policy, crime, and public safety person @ UK gov",criminologist
@taylorlorenz@mastodon.social,Technology columnist at The Washington Post.,tech policy 
@o_garcia_ponce@mastodon.social,Assistant Professor of #PoliticalScience at George Washington University | #Mexicano | NYU & Colmex alumnus,political science 
@JPinaSanchez@sciences.social,Professor in Quantitative Criminology and Co-director of Social Research Methods at the University of Leeds.,criminologist
@josh@fediscience.org,Prof of Anthropology & Social Informatics at Indiana University South Bend. PI of Digital Index of North American Archaeology (DINAA),anthoropology 
@urnov@genomic.social,Genome editor @MCB UC Berkeley and the IGI. Beatles fanatic.,biologist
@ewanbirney@genomic.social,"Deputy Director General of EMBL, Director of EMBL-EBI. I have an insatiable love of biology.",biologist
@ScottishGENES@mastodon.scot,"I'm Chris Paton, an Irish/Scottish genealogist/sloinntear ",genealogist
@ScientistSoph@mastodon.online,"Pro #Genealogist & #Scientist at Khronicle, Ancestry & Genealogy Expert for Time Team. #DNA researcher, #OccupationOfTheDay creator, ",genealogist
@jentaub@mstdn.social,Law Professor and Author of Big Dirty Money (Viking 2020) and Other People’s Houses (Yale Press 2014),law
@scottjshapiro@mastodon.social,"Southmayd Prof @YaleLawSch + Philosophy @yale. Ed, @LegalTheory + Stanford Encyclopedia of Phil. ",law
@LeahLitman@mastodon.social,"Professor of Law, University of Michigan Law School (I write about constitutional law and the federal courts)",law
